id,level,system,label,raw_line
0,ERROR,BGL,1,050701 110531 241131 ERROR BGL|NULL.DISCOVERY: Can not get assembly information for node card
1,ERROR,BGL,1,050802 163914 25954 ERROR BGL|NULL.HARDWARE: NodeCard is not fully functional
2,ERROR,BGL,1,"050802 175807 30687 ERROR BGL|NULL.DISCOVERY: Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK."
3,ERROR,BGL,1,"050803 161102 110662 ERROR BGL|RAS.MMCS: idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
4,ERROR,BGL,1,050804 102746 176466 ERROR BGL|NULL.DISCOVERY: Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
5,ERROR,Zookeeper,1,150729 190335 264145 ERROR Zookeeper|LearnerHandler-/10.10.34.11:52225:LearnerHandler@562: Unexpected exception causing shutdown while sock still open
6,ERROR,Zookeeper,1,150729 234428 619036 ERROR Zookeeper|CommitProcessor:1:NIOServerCnxn@180: Unexpected Exception:
7,ERROR,Hadoop,0,151018 180411 687506 ERROR Hadoop|org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator: Container complete event for unknown container id container_1445144423722_0020_01_000012
8,ERROR,Hadoop,1,151018 180601 687506 ERROR Hadoop|org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator: ERROR IN CONTACTING RM.
9,ERROR,Hadoop,1,151018 180626 160608 ERROR Hadoop|org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler: Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@7317849d
10,ERROR,Hadoop,1,"151018 180626 160608 ERROR Hadoop|org.apache.hadoop.yarn.YarnUncaughtExceptionHandler: Thread Thread[eventHandlingThread,5,main] threw an Exception."
11,FATAL,BGL,1,050604 002432 869872 FATAL BGL|RAS.APP: ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569
12,FATAL,BGL,0,050605 081046 984246 FATAL BGL|RAS.KERNEL: force load/store alignment...............0
13,FATAL,BGL,1,050607 181558 193358 FATAL BGL|RAS.APP: ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory
14,FATAL,BGL,1,050611 173207 536327 FATAL BGL|RAS.KERNEL: data TLB error interrupt
15,FATAL,BGL,1,050613 173643 709403 FATAL BGL|RAS.KERNEL: data storage interrupt
16,FATAL,BGL,0,050613 174555 709955 FATAL BGL|RAS.KERNEL: instruction address: 0x00004ed8
17,FATAL,BGL,0,050614 093655 767015 FATAL BGL|RAS.KERNEL: data address: 0x00000002
18,FATAL,BGL,0,050614 094123 767283 FATAL BGL|RAS.KERNEL: machine check: i-fetch......................0
19,FATAL,BGL,0,050614 094301 767381 FATAL BGL|RAS.KERNEL: program interrupt: illegal instruction......0
20,FATAL,BGL,0,050614 101850 769530 FATAL BGL|RAS.KERNEL: exception syndrome register: 0x00800000
21,FATAL,BGL,0,050614 102631 769991 FATAL BGL|RAS.KERNEL: data store interrupt caused by dcbf.........0
22,FATAL,BGL,0,050614 103027 770227 FATAL BGL|RAS.KERNEL: program interrupt: privileged instruction...0
23,FATAL,BGL,0,050614 103149 770309 FATAL BGL|RAS.KERNEL: program interrupt: trap instruction.........0
24,FATAL,BGL,0,050614 103255 770375 FATAL BGL|RAS.KERNEL: program interrupt: imprecise exception......0
25,FATAL,BGL,0,050614 103643 770603 FATAL BGL|RAS.KERNEL: store operation.............................1
26,FATAL,BGL,0,050614 103726 770646 FATAL BGL|RAS.KERNEL: machine state register: 0x00002000
27,FATAL,BGL,0,050614 104158 770918 FATAL BGL|RAS.KERNEL: data store interrupt caused by icbi.........0
28,FATAL,BGL,0,"050614 104234 770954 FATAL BGL|RAS.KERNEL: problem state (0=sup,1=usr).......0"
29,FATAL,BGL,0,050614 104321 771001 FATAL BGL|RAS.KERNEL: floating point instr. enabled.....1
30,FATAL,BGL,0,050614 104435 771075 FATAL BGL|RAS.KERNEL: auxiliary processor.........................0
31,FATAL,BGL,0,050614 104445 771085 FATAL BGL|RAS.KERNEL: machine check enable..............0
32,FATAL,BGL,0,050614 104515 771115 FATAL BGL|RAS.KERNEL: floating pt ex mode 0 enable......0
33,FATAL,BGL,0,050614 104739 771259 FATAL BGL|RAS.KERNEL: program interrupt: unimplemented operation..0
34,FATAL,BGL,0,050614 104822 771302 FATAL BGL|RAS.KERNEL: debug interrupt enable............0
35,FATAL,BGL,0,050614 104944 771384 FATAL BGL|RAS.KERNEL: byte ordering exception.....................0
36,FATAL,BGL,0,050614 105109 771469 FATAL BGL|RAS.KERNEL: data address space................0
37,FATAL,BGL,0,050614 105208 771528 FATAL BGL|RAS.KERNEL: core configuration register: 0x00002000
38,FATAL,BGL,0,050614 105439 771679 FATAL BGL|RAS.KERNEL: program interrupt: fp cr update.............0
39,FATAL,BGL,0,050614 105703 771823 FATAL BGL|RAS.KERNEL: guaranteed instruction cache block touch.0
40,FATAL,BGL,0,050614 105755 771875 FATAL BGL|RAS.KERNEL: program interrupt: fp cr field .............0
41,FATAL,BGL,0,050614 105848 771928 FATAL BGL|RAS.KERNEL: guaranteed data cache block touch........1
42,FATAL,BGL,0,050614 110022 772022 FATAL BGL|RAS.KERNEL: icache prefetch depth....................0
43,FATAL,BGL,0,050614 110202 772122 FATAL BGL|RAS.KERNEL: icache prefetch threshold................0
44,FATAL,BGL,0,050614 110308 772188 FATAL BGL|RAS.KERNEL: wait state enable.................0
45,FATAL,BGL,0,050614 110537 772337 FATAL BGL|RAS.KERNEL: critical input interrupt enable...0
46,FATAL,BGL,0,050614 111330 772810 FATAL BGL|RAS.KERNEL: special purpose registers:
47,FATAL,BGL,0,050614 111437 772877 FATAL BGL|RAS.KERNEL: lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000
48,FATAL,BGL,1,050614 111527 772927 FATAL BGL|RAS.KERNEL: rts internal error
49,FATAL,BGL,0,050614 112052 773252 FATAL BGL|RAS.KERNEL: debug wait enable.................0
50,FATAL,BGL,0,050614 112658 773618 FATAL BGL|RAS.KERNEL: instruction address space.........0
51,FATAL,BGL,0,050614 113221 773941 FATAL BGL|RAS.KERNEL: disable store gathering..................0
52,FATAL,BGL,1,"050620 162353 309833 FATAL BGL|RAS.APP: ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory"
53,FATAL,BGL,1,050620 190415 319455 FATAL BGL|RAS.APP: ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes
54,FATAL,BGL,1,"050621 180734 402454 FATAL BGL|RAS.APP: ciod: Error loading ./runtime_malloc: invalid or missing program image, No such file or directory"
55,FATAL,BGL,1,"050625 145147 736307 FATAL BGL|RAS.APP: ciod: Error loading /home/glosli/src/ddcMD/ddcMD/1.1.13/ddcMDbglV: invalid or missing program image, No such file or directory"
56,FATAL,BGL,1,050630 162443 173883 FATAL BGL|RAS.APP: ciod: Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map: Bad file descriptor
57,FATAL,BGL,1,050709 045146 909906 FATAL BGL|RAS.APP: ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required
58,FATAL,BGL,1,"050711 125451 111691 FATAL BGL|RAS.APP: ciod: Error loading /home/greeno/raptor.new.dev.3d.BGL.CXX_XL.MPI.ex: invalid or missing program image, No such file or directory"
59,FATAL,BGL,1,050711 140337 115817 FATAL BGL|RAS.KERNEL: rts panic! - stopping execution
60,FATAL,BGL,1,050714 162022 383222 FATAL BGL|RAS.APP: ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied
61,FATAL,BGL,1,"050718 155326 727206 FATAL BGL|RAS.KERNEL: rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015"
62,FATAL,BGL,1,050809 120932 614572 FATAL BGL|RAS.KERNEL: rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-
63,FATAL,BGL,1,"050812 232512 914312 FATAL BGL|RAS.APP: ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error"
64,FATAL,BGL,1,050813 135416 966456 FATAL BGL|RAS.APP: ciod: LOGIN chdir(pwd) failed: No such file or directory
65,FATAL,BGL,1,"050813 163908 976348 FATAL BGL|RAS.APP: ciod: Error loading /bgl/apps/scaletest/stability/MDCASK/WORK/65576/inferno: invalid or missing program image, No such file or directory"
66,FATAL,BGL,1,050814 190239 71359 FATAL BGL|RAS.APP: ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:42213: Link has been severed
